Stream,Year,Month,Counter,Symmetry,#Solutions,Minutes,Difficulty
1,2014,6,28,double mirror-broken,1,3.242235,0
1,2014,6,29,mirror-broken,1,5.881338,0
1,2014,6,30,mirror-broken,1,4.500118,0
1,2014,6,31,diagonal-broken,3,5.730128,0
1,2014,6,32,mirror-broken,1,5.340775,0
1,2014,6,33,classic-broken,1,5.995758,0
1,2014,6,34,double mirror-broken,2,7.458668,0
1,2014,6,35,rotational-broken,1,5.993757,0
1,2014,6,36,blockwise-broken,1,18.651626,1
1,2014,6,37,classic-broken,1,11.717742,1
1,2014,6,38,diagonal-broken,1,19.498435,1
1,2014,6,39,blockwise-broken,1,22.492326,1
1,2014,6,40,none,1,4.632349,0
1,2014,6,41,mirror-broken,1,11.355493,1
1,2014,6,42,classic-broken,2,6.604141,0
1,2014,6,43,classic-broken,1,4.885365,0
1,2014,6,44,mirror-broken,1,8.479338,1
1,2014,6,45,mirror,1,2.921553,0
1,2014,6,46,mirror-broken,2,7.161083,0
1,2014,6,47,blockwise-broken,2,7.351844,0
1,2014,6,48,mirror-broken,1,4.305509,0
1,2014,6,49,blockwise-broken,1,4.150474,0
1,2014,6,50,none,1,4.875783,0
1,2014,6,51,blockwise-broken,1,3.263545,0
1,2014,6,52,mirror-broken,1,4.287392,0
1,2014,6,53,none,1,15.632584,1
1,2014,6,54,mirror-broken,1,14.790214,1
1,2014,6,55,rotational,1,2.550066,0
1,2014,6,56,diagonal-broken,2,8.256569,0
1,2014,6,57,mirror-broken,1,19.042955,1
1,2014,6,58,rotational-broken,1,11.025797,1
1,2014,6,59,mirror,1,2.831325,0
1,2014,6,60,none,1,4.188887,0
1,2014,6,61,rotational-broken,1,12.517032,1
1,2014,6,62,mirror-broken,1,5.921731,0
1,2014,6,63,diagonal-broken,2,8.187676,0
1,2014,6,64,rotational-broken,1,4.431499,0
1,2014,6,65,diagonal-broken,1,14.240487,1
1,2014,6,66,classic-broken,1,6.167234,0
1,2014,6,67,classic-broken,1,5.225645,0
1,2014,6,68,double mirror-broken,1,4.901202,0
1,2014,6,69,diagonal-broken,1,14.467808,1
1,2014,6,70,mirror-broken,1,9.122359,1
1,2014,6,71,double mirror-broken,1,6.140470,0
1,2014,6,72,diagonal-broken,1,3.978173,0
1,2014,6,73,diagonal-broken,1,5.404224,0
